model_id,model_name,features,params,validation_auc,validation_ks,validation_log_loss,validation_brier_score,auc_gap,model_artifact_available,model_artifact_path,status
EASTACK001,Equal average ensemble,"CAT002, NN008, BNB018, WLOG005, BLOG005, RLOG005, WGNB013, GNB007","{'weights': {'CAT002': np.float64(0.125), 'NN008': np.float64(0.125), 'BNB018': np.float64(0.125), 'WLOG005': np.float64(0.125), 'BLOG005': np.float64(0.125), 'RLOG005': np.float64(0.125), 'WGNB013': np.float64(0.125), 'GNB007': np.float64(0.125)}}",0.8639811225906793,0.574108103595835,0.1822313704660929,0.05042842204187209,-0.003210310818480444,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/ensemble/models/EASTACK001.joblib,available
WASTACK001,AUC-weighted ensemble,"CAT002, NN008, BNB018, WLOG005, BLOG005, RLOG005, WGNB013, GNB007","{'weights': {'CAT002': np.float64(0.13305576372846023), 'NN008': np.float64(0.13210980955047824), 'BNB018': np.float64(0.12958695439925133), 'WLOG005': np.float64(0.1283727985709037), 'BLOG005': np.float64(0.12831156507439215), 'RLOG005': np.float64(0.11113725141536604), 'WGNB013': np.float64(0.12839693066411942), 'GNB007': np.float64(0.10902892659702888)}}",0.8640286747260488,0.5736428157865954,0.1827083016330172,0.0506290379799126,-0.003145073101609386,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/ensemble/models/WASTACK001.joblib,available
WASTACK002,KS-weighted ensemble,"CAT002, NN008, BNB018, WLOG005, BLOG005, RLOG005, WGNB013, GNB007","{'weights': {'CAT002': np.float64(0.1342222205718335), 'NN008': np.float64(0.13226425094898567), 'BNB018': np.float64(0.12978607030160902), 'WLOG005': np.float64(0.12797684317719832), 'BLOG005': np.float64(0.1278658569616819), 'RLOG005': np.float64(0.10899374973514903), 'WGNB013': np.float64(0.13120938496467707), 'GNB007': np.float64(0.10768162333886554)}}",0.8640230442856357,0.573687899129139,0.1828072432442564,0.05067971526729009,-0.003130945897832471,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/ensemble/models/WASTACK002.joblib,available
WASTACK003,Inverse log-loss weighted ensemble,"CAT002, NN008, BNB018, WLOG005, BLOG005, RLOG005, WGNB013, GNB007","{'weights': {'CAT002': np.float64(0.17066045463723883), 'NN008': np.float64(0.16847393257958185), 'BNB018': np.float64(0.05171046637034627), 'WLOG005': np.float64(0.1643866067812577), 'BLOG005': np.float64(0.16449281247033), 'RLOG005': np.float64(0.14804522874778495), 'WGNB013': np.float64(0.03701929635754551), 'GNB007': np.float64(0.09521120205591486)}}",0.8647381659650277,0.5743236053180091,0.1783698163899725,0.04906372578819292,-0.0025160344484203012,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/ensemble/models/WASTACK003.joblib,available
WASTACK004,Optimized weighted ensemble,"CAT002, NN008, BNB018, WLOG005, BLOG005, RLOG005, WGNB013, GNB007","{'weights': {'CAT002': np.float64(0.9999999999999999), 'NN008': np.float64(1.3877787807814457e-16), 'BNB018': np.float64(6.938893903907228e-18), 'WLOG005': np.float64(0.0), 'BLOG005': np.float64(0.0), 'RLOG005': np.float64(0.0), 'WGNB013': np.float64(0.0), 'GNB007': np.float64(3.3673159693837325e-18)}}",0.8683594749027379,0.5872307249836307,0.1761451856201332,0.04861625325225907,0.0018988765313004974,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/ensemble/models/WASTACK004.joblib,available
RASTACK001,Rank average ensemble,"CAT002, NN008, BNB018, WLOG005, BLOG005, RLOG005, WGNB013, GNB007",{'rank_method': 'percentile_average'},0.8583018598085322,0.5607729430372563,0.8117981740626471,0.2829776699312712,-0.0027640199688291345,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/ensemble/models/RASTACK001.joblib,available
LRSTACK001,Logistic stacking L2,"CAT002, NN008, BNB018, WLOG005, BLOG005, RLOG005, WGNB013, GNB007","{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.8658775058904202,0.5813257388806248,0.1814081213471374,0.0497544627699899,0.0016139019112370034,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/ensemble/models/LRSTACK001.joblib,available
RIDGESTACK001,Ridge logistic stacking,"CAT002, NN008, BNB018, WLOG005, BLOG005, RLOG005, WGNB013, GNB007","{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.8659956336452246,0.5811982774961681,0.1800601749288365,0.04910446171594864,-0.0006725141256168632,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/ensemble/models/RIDGESTACK001.joblib,available
LASSOSTACK001,Lasso logistic stacking,"CAT002, NN008, BNB018, WLOG005, BLOG005, RLOG005, WGNB013, GNB007","{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.8661484997042467,0.5817065700836687,0.1811564135287663,0.04960492554480642,0.0011259509692492786,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/ensemble/models/LASSOSTACK001.joblib,available
RFSTACK001,Random forest stacking,"CAT002, NN008, BNB018, WLOG005, BLOG005, RLOG005, WGNB013, GNB007","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 100, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",0.8659878410201267,0.5865005516318474,0.1772455677811247,0.04874128453056175,8.442735800895385e-05,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/ensemble/models/RFSTACK001.joblib,available
