stack_model_id,base_model_id,meta_importance,meta_importance_abs,importance_type,status
LRSTACK001,CAT002,10.626218577016912,10.626218577016912,stacking_coefficient,available
LRSTACK001,NN008,-2.0505064032836913,2.0505064032836913,stacking_coefficient,available
LRSTACK001,BNB018,1.7104268502554376,1.7104268502554376,stacking_coefficient,available
LRSTACK001,WLOG005,-2.6077032833322518,2.6077032833322518,stacking_coefficient,available
LRSTACK001,BLOG005,-0.8186182246173126,0.8186182246173126,stacking_coefficient,available
LRSTACK001,RLOG005,1.3665568943311537,1.3665568943311537,stacking_coefficient,available
LRSTACK001,WGNB013,-0.4180591142024465,0.4180591142024465,stacking_coefficient,available
LRSTACK001,GNB007,-0.3578339975379937,0.3578339975379937,stacking_coefficient,available
RIDGESTACK001,CAT002,5.442573548152853,5.442573548152853,stacking_coefficient,available
RIDGESTACK001,NN008,0.4873586699020908,0.4873586699020908,stacking_coefficient,available
RIDGESTACK001,BNB018,1.8030365666539963,1.8030365666539963,stacking_coefficient,available
RIDGESTACK001,WLOG005,-0.7316715033269265,0.7316715033269265,stacking_coefficient,available
RIDGESTACK001,BLOG005,-0.6611568098057226,0.6611568098057226,stacking_coefficient,available
RIDGESTACK001,RLOG005,1.2128612006362296,1.2128612006362296,stacking_coefficient,available
RIDGESTACK001,WGNB013,-0.1762508720717449,0.1762508720717449,stacking_coefficient,available
RIDGESTACK001,GNB007,-0.31828021155192787,0.31828021155192787,stacking_coefficient,available
LASSOSTACK001,CAT002,9.873846784642073,9.873846784642073,stacking_coefficient,available
LASSOSTACK001,NN008,-1.4087597304132613,1.4087597304132613,stacking_coefficient,available
LASSOSTACK001,BNB018,1.7392341718349564,1.7392341718349564,stacking_coefficient,available
LASSOSTACK001,WLOG005,-3.162198004695248,3.162198004695248,stacking_coefficient,available
LASSOSTACK001,BLOG005,0.0,0.0,stacking_coefficient,available
LASSOSTACK001,RLOG005,0.7438543850322988,0.7438543850322988,stacking_coefficient,available
LASSOSTACK001,WGNB013,-0.44129330807877853,0.44129330807877853,stacking_coefficient,available
LASSOSTACK001,GNB007,0.0,0.0,stacking_coefficient,available
RFSTACK001,CAT002,0.29082343211535805,0.29082343211535805,stacking_feature_importance,available
RFSTACK001,NN008,0.24171222959497307,0.24171222959497307,stacking_feature_importance,available
RFSTACK001,BNB018,0.10956976557331592,0.10956976557331592,stacking_feature_importance,available
RFSTACK001,WLOG005,0.1210679297327971,0.1210679297327971,stacking_feature_importance,available
RFSTACK001,BLOG005,0.1425347515660444,0.1425347515660444,stacking_feature_importance,available
RFSTACK001,RLOG005,0.0029202888400167645,0.0029202888400167645,stacking_feature_importance,available
RFSTACK001,WGNB013,0.07204466934189462,0.07204466934189462,stacking_feature_importance,available
RFSTACK001,GNB007,0.01932693323560009,0.01932693323560009,stacking_feature_importance,available
NNSTACK001,CAT002,6.362387603084265,6.362387603084265,neural_network_stacking_input_sensitivity,available
NNSTACK001,NN008,0.5345066985618656,0.5345066985618656,neural_network_stacking_input_sensitivity,available
NNSTACK001,BNB018,1.6229524770158146,1.6229524770158146,neural_network_stacking_input_sensitivity,available
NNSTACK001,WLOG005,2.204170196604756,2.204170196604756,neural_network_stacking_input_sensitivity,available
NNSTACK001,BLOG005,2.2592206412464155,2.2592206412464155,neural_network_stacking_input_sensitivity,available
NNSTACK001,RLOG005,2.529018477961965,2.529018477961965,neural_network_stacking_input_sensitivity,available
NNSTACK001,WGNB013,2.3317395098253133,2.3317395098253133,neural_network_stacking_input_sensitivity,available
NNSTACK001,GNB007,1.5447144067014797,1.5447144067014797,neural_network_stacking_input_sensitivity,available
XGBSTACK001,CAT002,0.350296288728714,0.350296288728714,stacking_feature_importance,available
XGBSTACK001,NN008,0.34223267436027527,0.34223267436027527,stacking_feature_importance,available
XGBSTACK001,BNB018,0.019036419689655304,0.019036419689655304,stacking_feature_importance,available
XGBSTACK001,WLOG005,0.022524310275912285,0.022524310275912285,stacking_feature_importance,available
XGBSTACK001,BLOG005,0.011706595309078693,0.011706595309078693,stacking_feature_importance,available
XGBSTACK001,RLOG005,0.007732438389211893,0.007732438389211893,stacking_feature_importance,available
XGBSTACK001,WGNB013,0.23544839024543762,0.23544839024543762,stacking_feature_importance,available
XGBSTACK001,GNB007,0.011022938415408134,0.011022938415408134,stacking_feature_importance,available
