model_id,model_family,shap_available,mean_abs_shap_file,summary_plot_file,status,message,model_artifact_available
NN001,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN002,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN003,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN004,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN005,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN006,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN007,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN008,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN009,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN010,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN011,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN012,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN013,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN014,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN015,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN016,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN017,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN018,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
NN019,neural_network,False,,,not_generated,SHAP requires model-ready validation matrices aligned to each model. Feature importance and ensemble contributions are exported in this script.,True
