model_id,model_family,model_name,dataset_type,feature_count,features,train_auc,validation_auc,validation_ks,validation_log_loss,validation_brier_score,auc_gap,selection_score,model_artifact_path,model_artifact_available,interpretability_type,governance_flag,reference_model_role
WLOG001,logistic,WOE staged logistic,woe,1,RevolvingUtilization_final_bin_woe,0.78083705399062,0.7805340973657805,0.4526678181434962,0.20977811007279917,0.05667851198106224,0.00030295662483947883,0.6733403090170988,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WLOG001.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
WLOG002,logistic,WOE staged logistic,woe,2,"RevolvingUtilization_final_bin_woe, NumberOfTimes90DaysLate_final_bin_woe",0.8167884858416873,0.8187563301639926,0.5013715179449144,0.19458257940563828,0.052442594266043974,-0.0019678443223053455,0.7999590368684819,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WLOG002.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
WLOG003,logistic,WOE staged logistic,woe,3,"RevolvingUtilization_final_bin_woe, NumberOfTimes90DaysLate_final_bin_woe, NumberOfTime30-59DaysPastDueNotWorse_final_bin_woe",0.8400904724186093,0.8453578595636281,0.5441305000065224,0.186090140950424,0.05077732399067291,-0.0052673871450187315,0.8875889539345082,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WLOG003.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
WLOG004,logistic,WOE staged logistic,woe,4,"RevolvingUtilization_final_bin_woe, NumberOfTimes90DaysLate_final_bin_woe, NumberOfTime30-59DaysPastDueNotWorse_final_bin_woe, NumberOfTime60-89DaysPastDueNotWorse_final_bin_woe",0.8477526365194851,0.8521826223074608,0.554981776247381,0.18381946269439997,0.05009982994214576,-0.00442998578797571,0.9144717679156898,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WLOG004.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
WLOG005,logistic,WOE staged logistic,woe,5,"RevolvingUtilization_final_bin_woe, NumberOfTimes90DaysLate_final_bin_woe, NumberOfTime30-59DaysPastDueNotWorse_final_bin_woe, NumberOfTime60-89DaysPastDueNotWorse_final_bin_woe, age_final_bin_v2_woe",0.8512462545738971,0.8553948761654314,0.5599068029115382,0.18286780199857572,0.0499583963343481,-0.004148621591534285,0.9258491600190351,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WLOG005.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
BLOG001,logistic,Binned staged logistic,binned_logit,1,RevolvingUtilization_final_bin,0.7808348113015298,0.7805363312250957,0.4526678181434962,0.2098697503079558,0.05669963964194954,0.00029848007643407115,0.6733167704834491,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BLOG001.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
BLOG002,logistic,Binned staged logistic,binned_logit,2,"RevolvingUtilization_final_bin, NumberOfTimes90DaysLate_final_bin",0.8164912673622136,0.8182930970274922,0.5015831253455016,0.19462150716166035,0.05245332611808753,-0.0018018296652786425,0.799647136610813,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BLOG002.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
BLOG003,logistic,Binned staged logistic,binned_logit,3,"RevolvingUtilization_final_bin, NumberOfTimes90DaysLate_final_bin, NumberOfTime30-59DaysPastDueNotWorse_final_bin",0.8397310752743862,0.8447574212748556,0.541438639802824,0.18618698487317337,0.05083793759865252,-0.005026346000469473,0.8845691325645967,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BLOG003.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
BLOG004,logistic,Binned staged logistic,binned_logit,4,"RevolvingUtilization_final_bin, NumberOfTimes90DaysLate_final_bin, NumberOfTime30-59DaysPastDueNotWorse_final_bin, NumberOfTime60-89DaysPastDueNotWorse_final_bin",0.8468896876477141,0.851238161720297,0.5539461495122279,0.1836562149962112,0.050173766576792594,-0.004348474072582875,0.9117762586201281,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BLOG004.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
BLOG005,logistic,Binned staged logistic,binned_logit,5,"RevolvingUtilization_final_bin, NumberOfTimes90DaysLate_final_bin, NumberOfTime30-59DaysPastDueNotWorse_final_bin, NumberOfTime60-89DaysPastDueNotWorse_final_bin, age_final_bin_v2",0.8515094121213779,0.8552253537186814,0.5594212311818855,0.1827497323964531,0.05005326005641051,-0.003715941597303485,0.9263596348597425,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/BLOG005.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
RLOG001,logistic,Regularized logistic,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled",0.8037757322496184,0.806244735000654,0.47780967776663,0.20343738318511875,0.05519870941076537,-0.002469002751035565,0.7285736250772836,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG001.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
RLOG002,logistic,Regularized logistic,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled",0.8045843211466877,0.807548910648351,0.47920611459139223,0.20176004123897534,0.054521668695544104,-0.0029645895016633395,0.732048292633429,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG002.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
RLOG003,logistic,Regularized logistic,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled",0.8043732113951042,0.8073018442153181,0.4778886393178257,0.20171856200259944,0.05447257559513629,-0.002928632820213939,0.7304963364364719,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG003.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
RLOG004,logistic,Regularized logistic,scaled,17,"RevolvingUtilization_capped_scaled, age_scaled, age_sq_scaled, NumberOfTime30-59DaysPastDueNotWorse_scaled, DebtRatio_capped_scaled, MonthlyIncome_median_scaled, NumberOfOpenCreditLinesAndLoans_scaled, NumberOfTimes90DaysLate_scaled, NumberRealEstateLoansOrLines_scaled, NumberOfTime60-89DaysPastDueNotWorse_scaled, NumberOfDependents_median_scaled, RevolvingUtilization_log_scaled, DebtRatio_log_scaled, MonthlyIncome_missing_flag_scaled, NumberOfDependents_missing_flag_scaled, DebtRatio_high_flag_scaled, RevolvingUtilization_high_flag_scaled",0.8043326806049885,0.807258759798579,0.47767884767454294,0.20171979202957885,0.05446835630324921,-0.0029260791935904473,0.7302266758888537,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/RLOG004.joblib,True,coefficients_pvalues_odds_ratios,governance_friendly_interpretable,
