feature,feature_type,psi,js_distance,wasserstein_distance,psi_flag,js_flag,wasserstein_flag
RevolvingUtilization_capped,numeric,0.0,0.0,0.0,green,green,review
age,numeric,0.0,0.0,0.0,green,green,review
age_sq,numeric,0.0,0.0,0.0,green,green,review
NumberOfTime30-59DaysPastDueNotWorse,numeric,0.0,0.0,0.0,green,green,review
DebtRatio_capped,numeric,0.0,0.0,0.0,green,green,review
MonthlyIncome_median,numeric,0.0,0.0,0.0,green,green,review
NumberOfOpenCreditLinesAndLoans,numeric,0.0,0.0,0.0,green,green,review
NumberOfTimes90DaysLate,numeric,0.0,0.0,0.0,green,green,review
NumberRealEstateLoansOrLines,numeric,0.0,0.0,0.0,green,green,review
NumberOfTime60-89DaysPastDueNotWorse,numeric,0.0,0.0,0.0,green,green,review
NumberOfDependents_median,numeric,0.0,0.0,0.0,green,green,review
RevolvingUtilization_log,numeric,0.0,0.0,0.0,green,green,review
DebtRatio_log,numeric,0.0,0.0,0.0,green,green,review
MonthlyIncome_missing_flag,numeric,0.0,0.0,0.0,green,green,review
NumberOfDependents_missing_flag,numeric,0.0,0.0,0.0,green,green,review
DebtRatio_high_flag,numeric,0.0,0.0,0.0,green,green,review
RevolvingUtilization_high_flag,numeric,0.0,0.0,0.0,green,green,review
