model_id,split,mean_abs_calibration_error,max_abs_calibration_error,mean_squared_calibration_error
BLOG001,train,1.3599488598739892e-14,6.25888230132432e-14,6.140477456643835e-28
BLOG001,validation,0.007849587261235509,0.03222533390779414,0.00017475200454401086
BLOG002,train,0.0027312843483891804,0.007590077658108596,1.1513775160257407e-05
BLOG002,validation,0.0035949676014010523,0.007860926789801409,1.9306842301513227e-05
BLOG003,train,0.004780817041802308,0.008041039368054795,2.864196679192796e-05
BLOG003,validation,0.007502272747695487,0.026511941235088987,0.0001041489351223648
BLOG004,train,0.00577320705267758,0.013713202977923805,4.684597137542893e-05
BLOG004,validation,0.007469530666016224,0.03381071977641739,0.00014556157007451087
BLOG005,train,0.004490840917315499,0.010434884574695893,2.5900118337452944e-05
BLOG005,validation,0.005821076096462022,0.0189239562363913,5.746066106708979e-05
BNB001,train,0.06750815415841269,0.48571383153332903,0.024175402243521247
BNB001,validation,0.06675450789579467,0.4819802750231816,0.02382234870154586
BNB002,train,0.1642610158481464,0.6249000506394495,0.0805547063112457
BNB002,validation,0.16456730339619813,0.6198418862579516,0.07966127909919536
BNB003,train,0.06751548932594831,0.48572148855178704,0.024176807597589868
BNB003,validation,0.06675610299992883,0.4819750315553398,0.023822008681737367
BNB004,train,0.16425963271368418,0.624844840195413,0.08055335834536023
BNB004,validation,0.16455775046410795,0.6198410446271145,0.07965435154051928
BNB005,train,0.06751425929238383,0.4857148232463809,0.024176096213024637
BNB005,validation,0.0667549167665201,0.48196847605341203,0.02382131748727325
BNB006,train,0.16425677273368128,0.624843764640322,0.08055100969200804
BNB006,validation,0.1645548693816857,0.6198399923054481,0.07965206629725803
BNB007,train,0.06751161260340112,0.48569481933273845,0.024174034880230708
BNB007,validation,0.06675103095016607,0.48194880177105165,0.02381918845674228
BNB008,train,0.16424516659493132,0.6248405360318661,0.080541823198013
BNB008,validation,0.16454300625400636,0.6198368334538378,0.07964425769103875
BNB009,train,0.0675011304661353,0.48565494343490095,0.02416951800853246
BNB009,validation,0.06674476995210908,0.48191598540511155,0.02381567451551674
BNB010,train,0.1642288775662076,0.6248623201668235,0.0805292210554532
BNB010,validation,0.16452536448941743,0.6198315624182478,0.0796318719142293
BNB011,train,0.06747721372397006,0.48548599390112446,0.024152613791609077
BNB011,validation,0.06671789306235273,0.48159839296345563,0.023785424506160915
BNB012,train,0.16424620561696496,0.6247830685632676,0.08053060045297442
BNB012,validation,0.1644750613980388,0.6197268754925963,0.07959463247372797
BNB013,train,0.0675542595440475,0.4855022160418895,0.02416174458372773
BNB013,validation,0.06666613807316067,0.4814380765394362,0.023766505841723486
BNB014,train,0.16415595489766605,0.6241352597833209,0.0804661620299028
BNB014,validation,0.16436209784263434,0.6198347902647825,0.07952893054658017
BNB015,train,0.06742739090775399,0.4846378031046734,0.024073643726405938
BNB015,validation,0.06656711620357766,0.48101279740220976,0.02372007866999613
BNB016,train,0.16398303635907924,0.6240143813598241,0.08032155384905676
BNB016,validation,0.16412690158032744,0.6198999092917628,0.07936153944094232
BNB017,train,0.06730120935039448,0.4836931476203425,0.023977729125050078
BNB017,validation,0.06639670159701733,0.4801241175733419,0.02362672815092024
BNB018,train,0.16382922608395625,0.6240115923622891,0.08018798040920445
BNB018,validation,0.1637785319259105,0.6195697863013288,0.07910932454771614
CAT001,train,0.00320672673212946,0.007950654650391797,1.4241712681867268e-05
CAT001,validation,0.003672499324095537,0.009209112053573887,2.0361879599613378e-05
CAT002,train,0.002848479043633162,0.011480152688134904,1.7202121221268587e-05
CAT002,validation,0.0034497299657361502,0.008891822985796216,1.793704258763989e-05
CAT003,train,0.0032992208767009972,0.007409412379829283,1.4888902316778064e-05
CAT003,validation,0.0035282838379633976,0.00928299051114867,1.9366966968609358e-05
CAT004,train,0.003219266269765142,0.007136437539876528,1.5068615391618161e-05
CAT004,validation,0.003919321792801557,0.011978185715918466,2.5524848911877647e-05
EASTACK001,train,0.01994789792503731,0.08852125968980823,0.0013119169092191834
EASTACK001,validation,0.020092579686393143,0.08307618713446879,0.0012273046593098997
ET001,train,0.026765977278738272,0.13382524667174292,0.0020294510561579314
ET001,validation,0.028052009167009305,0.13970411722372658,0.0022012982418267183
ET002,train,0.02521191710375294,0.12605479085919138,0.0017821314030723018
ET002,validation,0.02608066326259889,0.12967276294823402,0.0018819233550025545
