pd_band,predicted_pd,actual_default_rate,count,abs_error,split,model_id
"(-0.001, 0.05]",0.022237997499961467,0.02223799749996142,64799,4.85722573273506e-17,train,BLOG001
"(0.05, 0.1]",0.0568161354222942,0.05681613542229425,11106,4.85722573273506e-17,train,BLOG001
"(0.1, 0.2]",0.15531180020495683,0.1553118002049569,26347,8.326672684688674e-17,train,BLOG001
"(0.2, 0.4]",0.3627746660922017,0.36277466609220166,2321,5.551115123125783e-17,train,BLOG001
"(-0.001, 0.05]",0.024677681011582676,0.022811849264458926,74435,0.00186583174712375,train,BLOG002
"(0.05, 0.1]",0.0852651824798081,0.08740581270182993,9290,0.002140630222021822,train,BLOG002
"(0.1, 0.2]",0.11830559149693924,0.12885813148788927,14450,0.01055253999095003,train,BLOG002
"(0.2, 0.4]",0.24742959320681943,0.29606048547552727,2513,0.04863089226870784,train,BLOG002
"(0.4, 1.0]",0.5265629096025517,0.4864864864864865,3885,0.040076423116065185,train,BLOG002
"(-0.001, 0.05]",0.02111169397202269,0.01863468634686347,70460,0.0024770076251592194,train,BLOG003
"(0.05, 0.1]",0.07664720400152482,0.08291991495393337,21165,0.006272710952408556,train,BLOG003
"(0.1, 0.2]",0.15709813169682493,0.1667223521550284,5986,0.009624220458203464,train,BLOG003
"(0.2, 0.4]",0.29020442444851846,0.32889344262295084,3904,0.03868901817443238,train,BLOG003
"(0.4, 1.0]",0.5961034926928688,0.5415304120340092,3058,0.054573080658859574,train,BLOG003
"(-0.001, 0.05]",0.020622256193447788,0.017425294597729128,69841,0.00319696159571866,train,BLOG004
"(0.05, 0.1]",0.07193294253521991,0.07701121986154214,20945,0.005078277326322225,train,BLOG004
"(0.1, 0.2]",0.1468040769538902,0.1691542288557214,6432,0.022350151901831206,train,BLOG004
"(0.2, 0.4]",0.2749922120753192,0.33020780537252914,3946,0.05521559329720993,train,BLOG004
"(0.4, 1.0]",0.595401124076444,0.5236139630390144,3409,0.07178716103742955,train,BLOG004
"(-0.001, 0.05]",0.020945509979101534,0.017975640487190254,71430,0.002969869491911279,train,BLOG005
"(0.05, 0.1]",0.07488189196519013,0.08001618532193618,19771,0.0051342933567460475,train,BLOG005
"(0.1, 0.2]",0.14908080942481433,0.1708298407376362,5965,0.02174903131282188,train,BLOG005
"(0.2, 0.4]",0.2814229120738815,0.33277310924369746,4165,0.05135019716981598,train,BLOG005
"(0.4, 1.0]",0.6070261811049551,0.5351634793337446,3242,0.07186270177121046,train,BLOG005
"(-0.001, 0.05]",0.006407232506875963,0.02349926793557833,81960,0.017092035428702367,train,BNB001
"(0.05, 0.1]",0.07173322386497057,0.09154621112571178,4566,0.01981298726074121,train,BNB001
"(0.1, 0.2]",0.1399999095361661,0.10472758108967564,4717,0.03527232844649045,train,BNB001
"(0.2, 0.4]",0.2839651598529994,0.14872364039955605,2703,0.13524151945344337,train,BNB001
"(0.4, 1.0]",0.836161430488775,0.35438035193375367,10627,0.48178107855502134,train,BNB001
"(-0.001, 0.05]",0.01569213615118567,0.01117491251474199,51723,0.00451722363644368,train,BNB002
"(0.05, 0.1]",0.07196696450860632,0.028314606741573035,11125,0.04365235776703329,train,BNB002
"(0.1, 0.2]",0.1416479799290279,0.04320921796649952,9373,0.09843876196252838,train,BNB002
"(0.2, 0.4]",0.2869969058414034,0.062271872580466764,9041,0.22472503326093665,train,BNB002
"(0.4, 1.0]",0.7966566388952486,0.22071125219853288,23311,0.5759453866967157,train,BNB002
"(-0.001, 0.05]",0.006408141779147951,0.02349869451697128,81962,0.01709055273782333,train,BNB003
"(0.05, 0.1]",0.0717395280261303,0.0915863277826468,4564,0.0198467997565165,train,BNB003
"(0.1, 0.2]",0.13999241554919822,0.10472758108967564,4717,0.03526483445952258,train,BNB003
"(0.2, 0.4]",0.2839585158530257,0.14872364039955605,2703,0.13523487545346963,train,BNB003
"(0.4, 1.0]",0.8361560717330927,0.35438035193375367,10627,0.48177571979933903,train,BNB003
"(-0.001, 0.05]",0.01569253579625323,0.01117491251474199,51723,0.00451762328151124,train,BNB004
"(0.05, 0.1]",0.07196665646411057,0.028314606741573035,11125,0.04365204972253754,train,BNB004
"(0.1, 0.2]",0.14164568125302984,0.04320921796649952,9373,0.09843646328653033,train,BNB004
"(0.2, 0.4]",0.28698882919639374,0.062271872580466764,9041,0.22471695661592697,train,BNB004
"(0.4, 1.0]",0.7966502701383086,0.22071125219853288,23311,0.5759390179397756,train,BNB004
"(-0.001, 0.05]",0.006407948646852446,0.02349869451697128,81962,0.017090745870118832,train,BNB005
"(0.05, 0.1]",0.07176025219348955,0.09172504378283713,4568,0.01996479158934758,train,BNB005
"(0.1, 0.2]",0.1400169845020167,0.10460428601739868,4713,0.035412698484618005,train,BNB005
"(0.2, 0.4]",0.2839502094844753,0.14872364039955605,2703,0.13522656908491926,train,BNB005
"(0.4, 1.0]",0.8361493720718739,0.35438035193375367,10627,0.48176902013812023,train,BNB005
"(-0.001, 0.05]",0.015691708352258957,0.011175344637574679,51721,0.004516363714684278,train,BNB006
"(0.05, 0.1]",0.07196232301568603,0.02830951739013211,11127,0.04365280562555392,train,BNB006
"(0.1, 0.2]",0.14164280679115368,0.04320921796649952,9373,0.09843358882465417,train,BNB006
"(0.2, 0.4]",0.2869787321671202,0.062271872580466764,9041,0.22470685958665346,train,BNB006
"(0.4, 1.0]",0.7966423078828857,0.22071125219853288,23311,0.5759310556843529,train,BNB006
"(-0.001, 0.05]",0.006407369045709633,0.02349869451697128,81962,0.017091325471261645,train,BNB007
"(0.05, 0.1]",0.07174816997548528,0.09172504378283713,4568,0.019976873807351858,train,BNB007
"(0.1, 0.2]",0.13997614339436834,0.10462648556876061,4712,0.03534965782560773,train,BNB007
"(0.2, 0.4]",0.28393716144299774,0.14861367837338263,2705,0.1353234830696151,train,BNB007
"(0.4, 1.0]",0.8361703111780221,0.3544137022397892,10626,0.4817566089382329,train,BNB007
"(-0.001, 0.05]",0.015693204205048748,0.011175344637574679,51721,0.0045178595674740685,train,BNB008
"(0.05, 0.1]",0.07196116310879352,0.02830951739013211,11127,0.04365164571866141,train,BNB008
"(0.1, 0.2]",0.14163417596377298,0.04320921796649952,9373,0.09842495799727347,train,BNB008
"(0.2, 0.4]",0.2869484329318911,0.062271872580466764,9041,0.22467656035142433,train,BNB008
"(0.4, 1.0]",0.7966184123933993,0.22071125219853288,23311,0.5759071601948664,train,BNB008
"(-0.001, 0.05]",0.0064064023636721465,0.02349869451697128,81962,0.017092292153299132,train,BNB009
"(0.05, 0.1]",0.07174655872808355,0.09166484357908554,4571,0.019918284851001986,train,BNB009
"(0.1, 0.2]",0.13995475672160537,0.10469314079422383,4709,0.03526161592738154,train,BNB009
"(0.2, 0.4]",0.28389559383690155,0.14861367837338263,2705,0.13528191546351892,train,BNB009
"(0.4, 1.0]",0.8361367811969969,0.3544137022397892,10626,0.4817230789572077,train,BNB009
"(-0.001, 0.05]",0.015695692084934255,0.011175344637574679,51721,0.004520347447359576,train,BNB010
"(0.05, 0.1]",0.07195668770363664,0.028312061837138233,11126,0.04364462586649841,train,BNB010
"(0.1, 0.2]",0.1416153314103866,0.043204608491572434,9374,0.09841072291881417,train,BNB010
"(0.2, 0.4]",0.2868853925821803,0.0622787610619469,9040,0.2246066315202334,train,BNB010
"(0.4, 1.0]",0.7965615469993627,0.22070178448867536,23312,0.5758597625106873,train,BNB010
"(-0.001, 0.05]",0.006417213206388158,0.0235162100846486,81986,0.017098996878260442,train,BNB011
"(0.05, 0.1]",0.07182104785134631,0.09170881900153947,4547,0.019887771150193162,train,BNB011
"(0.1, 0.2]",0.13982278570760454,0.10475988100297493,4706,0.03506290470462961,train,BNB011
"(0.2, 0.4]",0.28354704026139477,0.14792899408284024,2704,0.13561804617855452,train,BNB011
"(0.4, 1.0]",0.8359056436983204,0.3544684854186265,10630,0.4814371582796939,train,BNB011
"(-0.001, 0.05]",0.01569998301344932,0.01117556071152359,51720,0.004524422301925729,train,BNB012
"(0.05, 0.1]",0.07195578148996587,0.02830442986791266,11129,0.043651351622053206,train,BNB012
"(0.1, 0.2]",0.14184969976000653,0.04313183894613832,9413,0.09871786081386821,train,BNB012
"(0.2, 0.4]",0.2871795854183173,0.06245138348705412,8999,0.22472820193126317,train,BNB012
"(0.4, 1.0]",0.7964817492968546,0.22070178448867536,23312,0.5757799648081792,train,BNB012
"(-0.001, 0.05]",0.006412227176511631,0.0235167837626854,81984,0.01710455658617377,train,BNB013
"(0.05, 0.1]",0.07178057371346185,0.09150757077024359,4557,0.019726997056781742,train,BNB013
"(0.1, 0.2]",0.13971593591312312,0.10491593956160886,4699,0.03479999635151426,train,BNB013
"(0.2, 0.4]",0.2834517524800628,0.14792899408284024,2704,0.13552275839722258,train,BNB013
"(0.4, 1.0]",0.8358125776803611,0.3545018346034434,10629,0.4813107430769177,train,BNB013
"(-0.001, 0.05]",0.015713784844525007,0.011174264393148513,51726,0.0045395204513764935,train,BNB014
"(0.05, 0.1]",0.0719365793619205,0.02834263091596185,11114,0.043593948445958645,train,BNB014
"(0.1, 0.2]",0.1416646956235628,0.0429421768707483,9408,0.09872251875281449,train,BNB014
"(0.2, 0.4]",0.28677848865136996,0.06261101243339254,9008,0.22416747621797742,train,BNB014
"(0.4, 1.0]",0.7962367908827513,0.2206544581206845,23317,0.5755823327620668,train,BNB014
"(-0.001, 0.05]",0.006404619036488756,0.023514489218460336,81992,0.01710987018197158,train,BNB015
"(0.05, 0.1]",0.07157656676000712,0.09166849857111453,4549,0.02009193181110741,train,BNB015
"(0.1, 0.2]",0.1395365568458276,0.10530767604144639,4729,0.03422888080438122,train,BNB015
"(0.2, 0.4]",0.28392229519377987,0.1480373831775701,2675,0.13588491201620978,train,BNB015
"(0.4, 1.0]",0.835448389977309,0.3544410989838163,10628,0.48100729099349265,train,BNB015
"(-0.001, 0.05]",0.015721213771590713,0.011181181568460557,51694,0.004540032203130156,train,BNB016
"(0.05, 0.1]",0.07194391276990122,0.02825212337952615,11185,0.043691789390375074,train,BNB016
"(0.1, 0.2]",0.14165876460230128,0.042907460774895934,9369,0.09875130382740535,train,BNB016
"(0.2, 0.4]",0.2861043548915281,0.06275685882483617,9003,0.2233474960666919,train,BNB016
"(0.4, 1.0]",0.7956692438052582,0.22060715204527914,23322,0.575062091759979,train,BNB016
"(-0.001, 0.05]",0.006392367499340012,0.02354677039764898,82007,0.017154402898308968,train,BNB017
"(0.05, 0.1]",0.07137413036308127,0.09088913282107575,4555,0.01951500245799448,train,BNB017
"(0.1, 0.2]",0.13884830152786132,0.10564276622825626,4714,0.03320553529960506,train,BNB017
"(0.2, 0.4]",0.2836537232036,0.14824495892457057,2678,0.13540876427902943,train,BNB017
"(0.4, 1.0]",0.8351325985042802,0.35464733025708634,10619,0.4804852682471939,train,BNB017
"(-0.001, 0.05]",0.01575788913211358,0.011145295176176932,51681,0.004612593955936649,train,BNB018
"(0.05, 0.1]",0.07197525987376112,0.028281750266808965,11244,0.043693509606952154,train,BNB018
"(0.1, 0.2]",0.14186588667864725,0.043102528539421744,9373,0.0987633581392255,train,BNB018
"(0.2, 0.4]",0.2853647319408565,0.06276571940031327,8938,0.2225990125405432,train,BNB018
"(0.4, 1.0]",0.7946009970776573,0.2205510562625873,23337,0.57404994081507,train,BNB018
"(-0.001, 0.05]",0.017956476674014676,0.01633785026840754,72837,0.0016186264056071362,train,CAT001
"(0.05, 0.1]",0.07206260912034063,0.07188346883468835,14760,0.0001791402856522739,train,CAT001
"(0.1, 0.2]",0.13663006046632656,0.1449240121580547,8225,0.00829395169172814,train,CAT001
"(0.2, 0.4]",0.28602458549702486,0.2915240587880008,4967,0.0054994732909759425,train,CAT001
"(0.4, 1.0]",0.5510679286368662,0.5589323467230444,3784,0.007864418086178215,train,CAT001
"(-0.001, 0.05]",0.017701817730676698,0.016064422311850082,72894,0.0016373954188266156,train,CAT002
"(0.05, 0.1]",0.07160087400760527,0.07038785142622614,14619,0.0012130225813791334,train,CAT002
"(0.1, 0.2]",0.1376235136560642,0.14440126305562304,8234,0.00677774939955883,train,CAT002
