decile,predicted_pd,actual_default_rate,count,split,model_id
4,0.3627746660922017,0.36277466609220166,2321,train,BLOG001
5,0.184598776538323,0.18459877653832313,16674,train,BLOG001
6,0.1048278713946035,0.10482787139460353,9673,train,BLOG001
7,0.0568161354222942,0.05681613542229425,11106,train,BLOG001
8,0.032798120227139155,0.03279812022713922,20428,train,BLOG001
9,0.017376214193955616,0.017376214193955512,44371,train,BLOG001
4,0.39740719565620364,0.3993035403366222,6892,train,BLOG002
5,0.1173740954573565,0.12496417311550588,13956,train,BLOG002
6,0.0852651824798081,0.08740581270182993,9290,train,BLOG002
7,0.049786465210622896,0.04812983863445574,10721,train,BLOG002
8,0.02938836908629359,0.026793344392499873,19893,train,BLOG002
9,0.016396240759919443,0.01481025079299879,43821,train,BLOG002
2,0.34910950066356344,0.35130832752959906,10051,train,BLOG003
3,0.13304983927145136,0.14082117407533085,2947,train,BLOG003
4,0.08672862213345905,0.09406060606060607,12375,train,BLOG003
5,0.05829936302454507,0.06634040239260468,11034,train,BLOG003
6,0.03716595921490625,0.0378435927216415,10332,train,BLOG003
7,0.0256193382592646,0.021232002915983234,10974,train,BLOG003
8,0.021800882349283904,0.01687116564417178,6520,train,BLOG003
9,0.014406881517110871,0.010659395141298959,40340,train,BLOG003
2,0.3844461468135882,0.39337521416333526,8755,train,BLOG004
3,0.13287709593026414,0.1465902989081797,5587,train,BLOG004
4,0.08045907435070701,0.08348105005486621,11847,train,BLOG004
5,0.05759471778286325,0.0647588765235824,9435,train,BLOG004
6,0.03751541356664874,0.037839399191218946,10386,train,BLOG004
7,0.025115108631489483,0.02164999179924553,12194,train,BLOG004
8,0.0211442533053618,0.015243428215896719,6429,train,BLOG004
9,0.014255375791555785,0.00971457185778668,39940,train,BLOG004
0,0.35215997987565795,0.3576536528797835,10348,train,BLOG005
1,0.1013539270139834,0.11178881158867816,10493,train,BLOG005
2,0.067254036385901,0.07081422018348624,10464,train,BLOG005
3,0.045219392242231746,0.04792192126329641,9119,train,BLOG005
4,0.031017016700734885,0.031611339052592315,10724,train,BLOG005
5,0.024112490931091517,0.02001360147673176,10293,train,BLOG005
6,0.019086155149640033,0.013898982558139535,11008,train,BLOG005
7,0.015264772872486586,0.010385756676557863,8762,train,BLOG005
8,0.013043610788594404,0.008597004342816628,11283,train,BLOG005
9,0.00914000702987812,0.005629605099759914,12079,train,BLOG005
0,0.8430479294754776,0.3573340982979537,10458,train,BNB001
1,0.16529661657504754,0.11457536342769702,10456,train,BNB001
2,0.03552661681251448,0.06865557467967107,10458,train,BNB001
3,0.012376202283444741,0.044199424736337485,10430,train,BNB001
4,0.005631916986902034,0.027817608259248637,10461,train,BNB001
5,0.0028687968141312796,0.022442937637283927,10471,train,BNB001
6,0.0015551675156781758,0.013096262307618775,10461,train,BNB001
7,0.0008516018728436734,0.00928140847765764,10451,train,BNB001
8,0.0004629992404369305,0.007452703993884961,10466,train,BNB001
9,0.0001881920609276717,0.005162030398623459,10461,train,BNB001
0,0.9822341244075605,0.3573340982979537,10458,train,BNB002
1,0.6921346363773195,0.11457536342769702,10456,train,BNB002
2,0.33027246851324815,0.06865557467967107,10458,train,BNB002
3,0.1474379672902983,0.044199424736337485,10430,train,BNB002
4,0.0729180272548375,0.027817608259248637,10461,train,BNB002
5,0.03847740510434563,0.022442937637283927,10471,train,BNB002
6,0.021217949374776866,0.013096262307618775,10461,train,BNB002
7,0.011726779378214513,0.00928140847765764,10451,train,BNB002
8,0.0064077113142304324,0.007452703993884961,10466,train,BNB002
9,0.002613569003798623,0.005162030398623459,10461,train,BNB002
0,0.8431239365512209,0.3574024483550115,10456,train,BNB003
1,0.16533873936562954,0.11455345190284949,10458,train,BNB003
2,0.03552507009894522,0.06865557467967107,10458,train,BNB003
3,0.01237597027199957,0.044199424736337485,10430,train,BNB003
4,0.005631888509953173,0.027817608259248637,10461,train,BNB003
5,0.0028688268849287003,0.022442937637283927,10471,train,BNB003
6,0.0015552061174974414,0.013096262307618775,10461,train,BNB003
7,0.0008516337663874975,0.00928140847765764,10451,train,BNB003
8,0.0004630259276345229,0.007452703993884961,10466,train,BNB003
9,0.0001882116680644611,0.005162030398623459,10461,train,BNB003
0,0.9822472640179665,0.3574024483550115,10456,train,BNB004
1,0.6921654708074803,0.11455345190284949,10458,train,BNB004
2,0.3302630641946646,0.06865557467967107,10458,train,BNB004
3,0.14743563556946696,0.044199424736337485,10430,train,BNB004
4,0.07291769236920322,0.027817608259248637,10461,train,BNB004
5,0.038477796211606095,0.022442937637283927,10471,train,BNB004
6,0.021218466383208723,0.013096262307618775,10461,train,BNB004
7,0.011727214221029595,0.00928140847765764,10451,train,BNB004
8,0.006408078514617268,0.007452703993884961,10466,train,BNB004
9,0.0026138406924471535,0.005162030398623459,10461,train,BNB004
0,0.8431172712461801,0.3574024483550115,10456,train,BNB005
1,0.16533102869299024,0.11455345190284949,10458,train,BNB005
2,0.035523136731146605,0.06865557467967107,10458,train,BNB005
3,0.012375680169283868,0.044199424736337485,10430,train,BNB005
4,0.005631852850408921,0.027817608259248637,10461,train,BNB005
5,0.0028688644339694546,0.022442937637283927,10471,train,BNB005
6,0.001555254345438547,0.013096262307618775,10461,train,BNB005
7,0.0008516736186213802,0.00928140847765764,10451,train,BNB005
8,0.0004630592793269411,0.007452703993884961,10466,train,BNB005
9,0.00018823617481218452,0.005162030398623459,10461,train,BNB005
0,0.9822461884654684,0.3574024483550115,10456,train,BNB006
1,0.6921521593489247,0.11455345190284949,10458,train,BNB006
2,0.33025130747799014,0.06865557467967107,10458,train,BNB006
3,0.14743271976437852,0.044199424736337485,10430,train,BNB006
4,0.07291727294437722,0.027817608259248637,10461,train,BNB006
5,0.038478284570145196,0.022442937637283927,10471,train,BNB006
6,0.02121911231278793,0.013096262307618775,10461,train,BNB006
7,0.011727757572468018,0.00928140847765764,10451,train,BNB006
8,0.0064085374135951475,0.007452703993884961,10466,train,BNB006
9,0.0026141802728290456,0.005162030398623459,10461,train,BNB006
0,0.8430972673336241,0.3574024483550115,10456,train,BNB007
1,0.1652981521751647,0.11454249928291424,10459,train,BNB007
2,0.03551466974425837,0.06866214019317204,10457,train,BNB007
3,0.01237480927206121,0.044199424736337485,10430,train,BNB007
4,0.005631745449587499,0.027817608259248637,10461,train,BNB007
5,0.002868976818155395,0.022442937637283927,10471,train,BNB007
6,0.0015553988670911813,0.013096262307618775,10461,train,BNB007
7,0.0008517930773750294,0.00928140847765764,10451,train,BNB007
8,0.0004631592857131289,0.007452703993884961,10466,train,BNB007
9,0.00018830968056356525,0.005162030398623459,10461,train,BNB007
0,0.9822429598648172,0.3574024483550115,10456,train,BNB008
1,0.6920924343701931,0.11454249928291424,10459,train,BNB008
2,0.33020120009441606,0.06866214019317204,10457,train,BNB008
3,0.14742396465964963,0.044199424736337485,10430,train,BNB008
4,0.07291600922058734,0.027817608259248637,10461,train,BNB008
5,0.038479746143574266,0.022442937637283927,10471,train,BNB008
6,0.02122104789579634,0.013096262307618775,10461,train,BNB008
7,0.011729386279923914,0.00928140847765764,10451,train,BNB008
8,0.006409913433909766,0.007452703993884961,10466,train,BNB008
9,0.0026151988110698393,0.005162030398623459,10461,train,BNB008
0,0.8430232131409653,0.3573682700583341,10457,train,BNB009
1,0.16523546838870348,0.11455345190284949,10458,train,BNB009
2,0.03550500082532844,0.06866214019317204,10457,train,BNB009
3,0.012373355815091934,0.044199424736337485,10430,train,BNB009
4,0.005630616489885498,0.027897200726091524,10467,train,BNB009
5,0.002868285450837307,0.022353840275124187,10468,train,BNB009
6,0.0015558165517649996,0.013108793416897904,10451,train,BNB009
7,0.000852151946230565,0.009275196022183975,10458,train,BNB009
8,0.00046332580075799783,0.007452703993884961,10466,train,BNB009
9,0.0001884321418223925,0.005162030398623459,10461,train,BNB009
0,0.9822305657184415,0.3573682700583341,10457,train,BNB010
1,0.6920050735217974,0.11455345190284949,10458,train,BNB010
2,0.3301423587538994,0.06866214019317204,10457,train,BNB010
3,0.1474093472130846,0.044199424736337485,10430,train,BNB010
4,0.07290228288420669,0.027897200726091524,10467,train,BNB010
5,0.03847087003423367,0.022353840275124187,10468,train,BNB010
6,0.021226662861177942,0.013108793416897904,10451,train,BNB010
7,0.011734273351397876,0.009275196022183975,10458,train,BNB010
8,0.0064122045462376735,0.007452703993884961,10466,train,BNB010
9,0.0026168956981645446,0.005162030398623459,10461,train,BNB010
0,0.8429157124280212,0.357429718875502,10458,train,BNB011
1,0.16520237057873904,0.11454545454545455,10450,train,BNB011
2,0.035533901336047266,0.06864528482527525,10445,train,BNB011
3,0.012383358317762912,0.04421898928024502,10448,train,BNB011
4,0.005628094809829411,0.027950014308881044,10483,train,BNB011
5,0.0028670674288612456,0.022290251602410792,10453,train,BNB011
6,0.0015562506243392597,0.013107539226942211,10452,train,BNB011
7,0.0008525035034867357,0.009275196022183975,10458,train,BNB011
8,0.00046364160505258924,0.007453416149068323,10465,train,BNB011
9,0.0001886768829581461,0.005162030398623459,10461,train,BNB011
0,0.9822127629604384,0.357429718875502,10458,train,BNB012
1,0.6919894111856894,0.11454545454545455,10450,train,BNB012
2,0.330338550137429,0.06864528482527525,10445,train,BNB012
3,0.14750674684818732,0.04421898928024502,10448,train,BNB012
4,0.07287152434926858,0.027950014308881044,10483,train,BNB012
5,0.038455333911043305,0.022290251602410792,10453,train,BNB012
6,0.021232474374628087,0.013107539226942211,10452,train,BNB012
7,0.01173906698736333,0.009275196022183975,10458,train,BNB012
8,0.006416549990755126,0.007453416149068323,10465,train,BNB012
9,0.0026202869327813746,0.005162030398623459,10461,train,BNB012
0,0.8437197528344513,0.35821753713464305,10435,train,BNB013
1,0.1655529243150767,0.11423935865623211,10478,train,BNB013
2,0.03545224623313124,0.06864901042164642,10459,train,BNB013
3,0.012364139555076741,0.04419518742210718,10431,train,BNB013
4,0.005627412355402165,0.02805878984539034,10478,train,BNB013
5,0.0028694848166739987,0.02232014560781684,10439,train,BNB013
6,0.001557986850242133,0.012991975544516622,10468,train,BNB013
7,0.0008533117922500066,0.009274309207381202,10459,train,BNB013
8,0.00046430361554572155,0.007453416149068323,10465,train,BNB013
9,0.00018916563849181452,0.005162030398623459,10461,train,BNB013
0,0.9823527724379659,0.35821753713464305,10435,train,BNB014
1,0.6920999914931433,0.11423935865623211,10478,train,BNB014
2,0.32981791167948965,0.06864901042164642,10459,train,BNB014
3,0.14731626609329604,0.04419518742210718,10431,train,BNB014
4,0.0728636448957199,0.02805878984539034,10478,train,BNB014
5,0.03848675417506426,0.02232014560781684,10439,train,BNB014
6,0.021255682836375477,0.012991975544516622,10468,train,BNB014
7,0.01175008565336382,0.009274309207381202,10459,train,BNB014
8,0.0064256582488129415,0.007453416149068323,10465,train,BNB014
9,0.002627059226913939,0.005162030398623459,10461,train,BNB014
0,0.842826756551579,0.35818895376663157,10447,train,BNB015
1,0.16479921149593132,0.11398815211159946,10466,train,BNB015
2,0.0353605257913121,0.0687541894091736,10443,train,BNB015
3,0.012346400631096918,0.04421736223856365,10471,train,BNB015
4,0.005620660142061478,0.027849554981337926,10449,train,BNB015
5,0.0028707350966731093,0.022368798394034987,10461,train,BNB015
6,0.0015598852869108846,0.013011863758132415,10452,train,BNB015
7,0.0008561196154796628,0.00929742164286399,10433,train,BNB015
8,0.0004666705673082425,0.007434944237918215,10491,train,BNB015
9,0.00019061484322237124,0.0051625239005736135,10460,train,BNB015
0,0.9822033108303828,0.35818895376663157,10447,train,BNB016
1,0.6910456703121846,0.11398815211159946,10466,train,BNB016
2,0.329281184201437,0.0687541894091736,10443,train,BNB016
3,0.14712817207885076,0.04421736223856365,10471,train,BNB016
4,0.07278379440091494,0.027849554981337926,10449,train,BNB016
5,0.03850287123649103,0.022368798394034987,10461,train,BNB016
6,0.021281149392233994,0.013011863758132415,10452,train,BNB016
7,0.011788366952662629,0.00929742164286399,10433,train,BNB016
8,0.006458212960178701,0.007434944237918215,10491,train,BNB016
9,0.002647138986415015,0.0051625239005736135,10460,train,BNB016
0,0.8416965896786908,0.35800344234079173,10458,train,BNB017
1,0.16392187835578126,0.11381490707031998,10438,train,BNB017
2,0.03530565582297055,0.06846153846153846,10400,train,BNB017
3,0.012364363628846494,0.04502617801047121,10505,train,BNB017
4,0.005624186876947117,0.02754399387911247,10456,train,BNB017
5,0.002875081562683478,0.02250405263659769,10487,train,BNB017
6,0.0015642111932588913,0.012934751365334866,10437,train,BNB017
7,0.0008617617546302941,0.009465855307640297,10353,train,BNB017
8,0.00047134346169920165,0.007371703997731784,10581,train,BNB017
9,0.00019300594685723544,0.0051635111876075735,10458,train,BNB017
0,0.9820150106930657,0.35800344234079173,10458,train,BNB018
1,0.6897929538038453,0.11381490707031998,10438,train,BNB018
2,0.32901101972497615,0.06846153846153846,10400,train,BNB018
3,0.147305338322518,0.04502617801047121,10505,train,BNB018
4,0.07282674345679277,0.02754399387911247,10456,train,BNB018
5,0.03855902734780165,0.02250405263659769,10487,train,BNB018
6,0.021339093864708236,0.012934751365334866,10437,train,BNB018
7,0.011865278995910169,0.009465855307640297,10353,train,BNB018
8,0.006522458789437976,0.007371703997731784,10581,train,BNB018
9,0.0026802667041739246,0.0051635111876075735,10458,train,BNB018
0,0.3646827360552875,0.37263339070567986,10458,train,CAT001
1,0.11232565788581429,0.11781581715597207,10457,train,CAT001
2,0.06565542728692146,0.06397628382901406,10457,train,CAT001
3,0.04044628104754297,0.041120780338529214,10457,train,CAT001
4,0.02587405622957673,0.028019508463230373,10457,train,CAT001
5,0.018395261563845588,0.016351118760757316,10458,train,CAT001
6,0.014349267850995967,0.011762455771253707,10457,train,CAT001
7,0.011545073528084017,0.008702304676293392,10457,train,CAT001
8,0.009130070780501938,0.006024672468203118,10457,train,CAT001
9,0.007086197740563524,0.0035379613692866703,10458,train,CAT001
0,0.3658386463174106,0.377318799005546,10458,train,CAT002
1,0.113486368109567,0.1161901118867744,10457,train,CAT002
2,0.06519041837191784,0.06349813522042651,10457,train,CAT002
3,0.04068145600301325,0.040451372286506644,10457,train,CAT002
4,0.026248847312956947,0.026585062637467724,10457,train,CAT002
5,0.01833076118737184,0.016446739338305604,10458,train,CAT002
6,0.013917782616603754,0.011475566606101176,10457,train,CAT002
7,0.010937426557111087,0.008511045232858372,10457,train,CAT002
8,0.00845862938667384,0.006311561633355647,10457,train,CAT002
9,0.006298103900434536,0.003155479059093517,10458,train,CAT002
0,0.36445901370546296,0.3718684260852936,10458,train,CAT003
1,0.1121915716691038,0.11886774409486468,10457,train,CAT003
2,0.06544709687537804,0.06301998661183895,10457,train,CAT003
3,0.04077753611596365,0.042172707277421825,10457,train,CAT003
4,0.026083773082997683,0.027350100411207803,10457,train,CAT003
5,0.018468898912910623,0.016829221648498757,10458,train,CAT003
6,0.014360631277252858,0.011475566606101176,10457,train,CAT003
7,0.011552227582610881,0.008797934398010902,10457,train,CAT003
8,0.009103383052610667,0.005833413024768098,10457,train,CAT003
9,0.006998212584589089,0.0037292025243832474,10458,train,CAT003
0,0.3632976798821927,0.3704341174220692,10458,train,CAT004
1,0.11200447012025787,0.11896337381658219,10457,train,CAT004
2,0.06573597499897726,0.06455006215931912,10457,train,CAT004
3,0.040838024209018886,0.04131203978196423,10457,train,CAT004
4,0.026091817902620672,0.02792387874151286,10457,train,CAT004
5,0.018550970057535216,0.01673360107095047,10458,train,CAT004
6,0.014575115960891812,0.010519269388926078,10457,train,CAT004
7,0.01178022149442693,0.009754231615186,10457,train,CAT004
8,0.00927432875616832,0.0059290427464856075,10457,train,CAT004
