model_id,model_family,model_name,dataset_type,feature_count,features,params,selected_flag,notes,train_auc,train_gini,train_ks,train_pr_auc,train_log_loss,train_brier_score,train_accuracy,train_precision,train_recall,train_f1,train_true_negative,train_false_positive,train_false_negative,train_true_positive,train_threshold,validation_auc,validation_gini,validation_ks,validation_pr_auc,validation_log_loss,validation_brier_score,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_true_negative,validation_false_positive,validation_false_negative,validation_true_positive,validation_threshold,validation_auc_increment,validation_max_vif,validation_vif_flag,validation_num_features_above_vif_threshold,validation_auc_train_validation_gap
WLOG001,logistic,WOE staged logistic,woe,1,RevolvingUtilization_final_bin_woe,"{'auc_stop_threshold': 0.005, 'vif_threshold': 3.0}",False,,0.78083705399062,0.56167410798124,0.4613659250489327,0.19073987738508688,0.21018930643017933,0.05693977714691186,0.9330037390148509,0.0,0.0,0.0,97567,0,7006,0,0.5,0.7805340973657805,0.561068194731561,0.4526678181434962,0.19684987413100258,0.20977811007279917,0.05667851198106224,0.9329941763170225,0.0,0.0,0.0,41814,0,3003,0,0.5,,1.0,single_feature,0.0,
WLOG002,logistic,WOE staged logistic,woe,2,"RevolvingUtilization_final_bin_woe, NumberOfTimes90DaysLate_final_bin_woe","{'auc_stop_threshold': 0.005, 'vif_threshold': 3.0}",False,,0.8167884858416873,0.6335769716833746,0.503266006324395,0.30766763586666046,0.1947477655666206,0.05236045189592476,0.9359490499459707,0.5767696909272183,0.16514416214673136,0.256768752774079,96718,849,5849,1157,0.5,0.8187563301639926,0.6375126603279853,0.5013715179449144,0.3092813902992462,0.19458257940563828,0.052442594266043974,0.93529241136176,0.560233918128655,0.15950715950715952,0.248315189217211,41438,376,2524,479,0.5,0.03822223279821213,1.1818733516751918,preferred,0.0,
WLOG003,logistic,WOE staged logistic,woe,3,"RevolvingUtilization_final_bin_woe, NumberOfTimes90DaysLate_final_bin_woe, NumberOfTime30-59DaysPastDueNotWorse_final_bin_woe","{'auc_stop_threshold': 0.005, 'vif_threshold': 3.0}",False,,0.8400904724186093,0.6801809448372187,0.5258400676644315,0.3521810367979896,0.18797864823691512,0.051068884309121244,0.9359490499459707,0.5803757828810021,0.15872109620325436,0.24927146379735485,96763,804,5894,1112,0.5,0.8453578595636281,0.6907157191272562,0.5441305000065224,0.3598802470156913,0.186090140950424,0.05077732399067291,0.9360510520561394,0.5826296743063932,0.16083916083916083,0.2520876826722338,41468,346,2520,483,0.5,0.02660152939963545,1.280643118834025,preferred,0.0,
WLOG004,logistic,WOE staged logistic,woe,4,"RevolvingUtilization_final_bin_woe, NumberOfTimes90DaysLate_final_bin_woe, NumberOfTime30-59DaysPastDueNotWorse_final_bin_woe, NumberOfTime60-89DaysPastDueNotWorse_final_bin_woe","{'auc_stop_threshold': 0.005, 'vif_threshold': 3.0}",False,,0.8477526365194851,0.6955052730389701,0.5365851085543883,0.36772748537470457,0.1858142078598702,0.05059804907456362,0.9368861943331452,0.5919384057971014,0.18655438195832144,0.2836987193401346,96666,901,5699,1307,0.5,0.8521826223074608,0.7043652446149216,0.554981776247381,0.37855482093917514,0.18381946269439997,0.05009982994214576,0.9375013945601,0.6060924369747899,0.19214119214119213,0.2917825537294564,41439,375,2426,577,0.5,0.006824762743832702,1.3704681118188409,preferred,0.0,
WLOG005,logistic,WOE staged logistic,woe,5,"RevolvingUtilization_final_bin_woe, NumberOfTimes90DaysLate_final_bin_woe, NumberOfTime30-59DaysPastDueNotWorse_final_bin_woe, NumberOfTime60-89DaysPastDueNotWorse_final_bin_woe, age_final_bin_v2_woe","{'auc_stop_threshold': 0.005, 'vif_threshold': 3.0}",False,validation_auc_increment_below_threshold,0.8512462545738971,0.7024925091477943,0.5445743205088744,0.3756311705426289,0.18485637355032744,0.050466283425827305,0.9368383808440037,0.5894689870593485,0.1885526691407365,0.2857142857142857,96647,920,5685,1321,0.5,0.8553948761654314,0.7107897523308628,0.5599068029115382,0.3877618572426714,0.18286780199857572,0.0499583963343481,0.9372113260593079,0.5989528795811518,0.19047619047619047,0.2890348660939869,41431,383,2431,572,0.5,0.0032122538579706372,1.409875747688125,preferred,0.0,
BLOG001,logistic,Binned staged logistic,binned_logit,1,RevolvingUtilization_final_bin,"{'auc_stop_threshold': 0.005, 'vif_threshold': 3.0, 'encoding': 'one_hot_drop_first'}",False,,0.7808348113015298,0.5616696226030595,0.46138222514145993,0.1907458260505146,0.21017311206799263,0.05693613182692626,0.9330037390148509,0.0,0.0,0.0,97567,0,7006,0,0.5,0.7805363312250957,0.5610726624501914,0.4526678181434962,0.1968498741310026,0.2098697503079558,0.05669963964194954,0.9329941763170225,0.0,0.0,0.0,41814,0,3003,0,0.5,,1.0,preferred,0.0,
BLOG002,logistic,Binned staged logistic,binned_logit,2,"RevolvingUtilization_final_bin, NumberOfTimes90DaysLate_final_bin","{'auc_stop_threshold': 0.005, 'vif_threshold': 3.0, 'encoding': 'one_hot_drop_first'}",False,,0.8164912673622136,0.6329825347244271,0.5031547759676339,0.307765940378841,0.1945753745577614,0.05232776069541428,0.9358821110611726,0.5715644317641465,0.17156722809020838,0.26391480952903723,96666,901,5804,1202,0.5,0.8182930970274922,0.6365861940549844,0.5015831253455016,0.30909410326062703,0.19462150716166035,0.05245332611808753,0.935515540977754,0.5635545556805399,0.16683316683316685,0.2574511819116136,41426,388,2502,501,0.5,0.03775676580239651,1.110345383869631,preferred,0.0,
BLOG003,logistic,Binned staged logistic,binned_logit,3,"RevolvingUtilization_final_bin, NumberOfTimes90DaysLate_final_bin, NumberOfTime30-59DaysPastDueNotWorse_final_bin","{'auc_stop_threshold': 0.005, 'vif_threshold': 3.0, 'encoding': 'one_hot_drop_first'}",False,,0.8397310752743862,0.6794621505487723,0.5230184561081943,0.35122118631331534,0.18783279438508765,0.05106460139051175,0.9360064261329406,0.5811789038262668,0.16043391378818156,0.25145413870246086,96757,810,5882,1124,0.5,0.8447574212748556,0.6895148425497113,0.541438639802824,0.35782716937693937,0.18618698487317337,0.05083793759865252,0.9359841131713412,0.5799522673031027,0.16183816183816183,0.2530590991929185,41462,352,2517,486,0.5,0.026464324247363447,1.1884962687482925,preferred,0.0,
BLOG004,logistic,Binned staged logistic,binned_logit,4,"RevolvingUtilization_final_bin, NumberOfTimes90DaysLate_final_bin, NumberOfTime30-59DaysPastDueNotWorse_final_bin, NumberOfTime60-89DaysPastDueNotWorse_final_bin","{'auc_stop_threshold': 0.005, 'vif_threshold': 3.0, 'encoding': 'one_hot_drop_first'}",False,,0.8468896876477141,0.6937793752954282,0.5353807157546475,0.36621309803262503,0.18542179431464376,0.05059235435451987,0.9365132491178412,0.5787891799055389,0.19240650870682272,0.2888055704338511,96586,981,5658,1348,0.5,0.851238161720297,0.702476323440594,0.5539461495122279,0.37746062534607694,0.1836562149962112,0.050173766576792594,0.9367873797889193,0.5836614173228346,0.19746919746919747,0.2950982831550137,41391,423,2410,593,0.5,0.006480740445441335,1.201902433287446,preferred,0.0,
BLOG005,logistic,Binned staged logistic,binned_logit,5,"RevolvingUtilization_final_bin, NumberOfTimes90DaysLate_final_bin, NumberOfTime30-59DaysPastDueNotWorse_final_bin, NumberOfTime60-89DaysPastDueNotWorse_final_bin, age_final_bin_v2","{'auc_stop_threshold': 0.005, 'vif_threshold': 3.0, 'encoding': 'one_hot_drop_first'}",False,validation_auc_increment_below_threshold,0.8515094121213779,0.7030188242427557,0.5469097118037431,0.37506103104175026,0.18447266256732042,0.050456953641010126,0.9366662522830941,0.5853006681514477,0.18755352554952898,0.28407739703815804,96636,931,5692,1314,0.5,0.8552253537186814,0.7104507074373627,0.5594212311818855,0.3858441564535692,0.1827497323964531,0.05005326005641051,0.9369435705201151,0.5928646379853095,0.18814518814518816,0.2856420626895854,41426,388,2438,565,0.5,0.003987191998384376,1.4701429018008427,preferred,0.0,
