model_id,split,risk_band,applicant_count,default_count,actual_default_rate,min_pd,mean_pd,max_pd,min_percentile,max_percentile,total_applicants,applicant_pct
BLOG001,train,Low Risk,25911,363,0.014009494037281463,0.0140094940372817,0.014009494037281701,0.0140094940372817,0.1238943130636015,0.1238943130636015,104573,0.2477790634293747
BLOG001,train,Medium Risk,25898,626,0.024171750714340877,0.0221018418201516,0.024171750714340783,0.0293089540198977,0.33604754573360235,0.4598749199124057,104573,0.24765474835760665
BLOG001,train,High Risk,33769,2097,0.062098374248571175,0.0347959969207082,0.062098374248571134,0.1048278713946035,0.5575483155307775,0.7721113480535129,104573,0.32292274296424506
BLOG001,train,Very High Risk,16674,3078,0.18459877653832313,0.184598776538323,0.184598776538323,0.184598776538323,0.898085547894772,0.898085547894772,104573,0.159448423589263
BLOG001,train,Extreme Risk,2321,842,0.36277466609220166,0.3627746660922017,0.3627746660922017,0.3627746660922017,0.9889072705191588,0.9889072705191588,104573,0.02219502165951058
BLOG001,validation,Low Risk,11290,167,0.01479185119574845,0.0140094940372817,0.0140094940372817,0.0140094940372817,0.12596782470937368,0.12596782470937368,44817,0.251913336457148
BLOG001,validation,Medium Risk,10914,266,0.0243723657687374,0.0221018418201516,0.02416941267386289,0.0293089540198977,0.3387553830019859,0.4605172144498739,44817,0.24352366289577615
BLOG001,validation,High Risk,14385,862,0.05992353145637817,0.0347959969207082,0.06194396582958536,0.1048278713946035,0.5575897538880336,0.7707789454894348,44817,0.3209719526072696
BLOG001,validation,Very High Risk,7228,1313,0.18165467625899281,0.184598776538323,0.184598776538323,0.184598776538323,0.8970591516612,0.8970591516612,44817,0.16127808644041325
BLOG001,validation,Extreme Risk,1000,395,0.395,0.3627746660922017,0.3627746660922017,0.3627746660922017,0.9888546756811032,0.9888546756811032,44817,0.022312961599393086
BLOG002,train,Low Risk,25642,306,0.011933546525232042,0.0133531493778671,0.0133531493778671,0.0133531493778671,0.12260813020569362,0.12260813020569362,104573,0.24520669771355894
BLOG002,train,Medium Risk,25384,502,0.01977623699968484,0.0206886082839079,0.02208172790793918,0.0255967205027018,0.3321316209729089,0.4535013818098362,104573,0.24273952167385462
BLOG002,train,High Risk,32699,1702,0.052050521422673475,0.031541492355901,0.05278671194141035,0.0856711535822705,0.5486167557591348,0.7573226358620294,104573,0.31269065628795195
BLOG002,train,Very High Risk,16074,2291,0.14252830658205798,0.1040875510962569,0.12878089969378828,0.2221058587952178,0.8018035248104195,0.9466497088158511,104573,0.1537108048922762
BLOG002,train,Extreme Risk,4774,2205,0.46187683284457476,0.2224253747668911,0.4832381832818329,0.7795412609570519,0.9545245904774655,0.9990819810084821,104573,0.04565231943235826
BLOG002,validation,Low Risk,11169,131,0.0117288924702301,0.0133531493778671,0.0133531493778671,0.0133531493778671,0.1246178905326104,0.1246178905326104,44817,0.24921346810362138
BLOG002,validation,Medium Risk,10692,209,0.01954732510288066,0.0206886082839079,0.02207630218938994,0.0255967205027018,0.3347836758372939,0.4540687685476493,44817,0.2385701854207109
