split,model_id,reference_risk_band,risk_band,applicant_count,total_applicants,applicant_pct
train,BLOG001,Low Risk,Low Risk,13031,104573,0.12461151540072485
train,BLOG001,Low Risk,Medium Risk,7340,104573,0.07019020205980511
train,BLOG001,Low Risk,High Risk,557,104573,0.005326422690369407
train,BLOG001,Medium Risk,Low Risk,9810,104573,0.09381006569573408
train,BLOG001,Medium Risk,Medium Risk,13218,104573,0.12639973989461906
train,BLOG001,Medium Risk,High Risk,8088,104573,0.07734310003538199
train,BLOG001,Medium Risk,Very High Risk,5,104573,4.7813489141556616e-05
train,BLOG001,Medium Risk,Extreme Risk,2,104573,1.9125395656622646e-05
train,BLOG001,High Risk,Low Risk,2485,104573,0.023763304103353637
train,BLOG001,High Risk,Medium Risk,4192,104573,0.04008682929628107
train,BLOG001,High Risk,High Risk,19257,104573,0.18414887207979114
train,BLOG001,High Risk,Very High Risk,5485,104573,0.05245139758828761
train,BLOG001,High Risk,Extreme Risk,188,104573,0.0017977871917225288
train,BLOG001,Very High Risk,Low Risk,542,104573,0.005182982222944737
train,BLOG001,Very High Risk,Medium Risk,1019,104573,0.009744389087049238
train,BLOG001,Very High Risk,High Risk,5036,104573,0.04815774626337582
train,BLOG001,Very High Risk,Very High Risk,8058,104573,0.07705621910053265
train,BLOG001,Very High Risk,Extreme Risk,1030,104573,0.009849578763160663
train,BLOG001,Extreme Risk,Low Risk,43,104573,0.0004111960066173869
train,BLOG001,Extreme Risk,Medium Risk,129,104573,0.0012335880198521606
train,BLOG001,Extreme Risk,High Risk,831,104573,0.00794660189532671
train,BLOG001,Extreme Risk,Very High Risk,3126,104573,0.029892993411301198
train,BLOG001,Extreme Risk,Extreme Risk,1101,104573,0.010528530308970767
train,BLOG002,Low Risk,Low Risk,13031,104573,0.12461151540072485
train,BLOG002,Low Risk,Medium Risk,7340,104573,0.07019020205980511
train,BLOG002,Low Risk,High Risk,557,104573,0.005326422690369407
train,BLOG002,Medium Risk,Low Risk,9810,104573,0.09381006569573408
train,BLOG002,Medium Risk,Medium Risk,13218,104573,0.12639973989461906
