reference_risk_band,comparison_risk_band,applicant_count,reference_model,comparison_model,split,applicant_pct
Extreme Risk,Extreme Risk,1000,BLOG001,BLOG001,validation,0.022312961599393086
High Risk,High Risk,10294,BLOG001,BLOG001,validation,0.22968962670415244
Low Risk,Low Risk,11290,BLOG001,BLOG001,validation,0.251913336457148
Medium Risk,Medium Risk,10914,BLOG001,BLOG001,validation,0.24352366289577615
Very High Risk,Very High Risk,11319,BLOG001,BLOG001,validation,0.2525604123435304
Extreme Risk,Extreme Risk,303,BLOG001,BLOG002,validation,0.006760827364616105
Extreme Risk,Very High Risk,697,BLOG001,BLOG002,validation,0.015552134234776981
High Risk,Extreme Risk,216,BLOG001,BLOG002,validation,0.004819599705468907
High Risk,High Risk,9990,BLOG001,BLOG002,validation,0.22290648637793695
High Risk,Very High Risk,88,BLOG001,BLOG002,validation,0.001963540620746592
Low Risk,High Risk,98,BLOG001,BLOG002,validation,0.0021866702367405225
Low Risk,Low Risk,11169,BLOG001,BLOG002,validation,0.24921346810362138
Low Risk,Very High Risk,23,BLOG001,BLOG002,validation,0.000513198116786041
Medium Risk,Extreme Risk,12,BLOG001,BLOG002,validation,0.00026775553919271706
Medium Risk,Medium Risk,10692,BLOG001,BLOG002,validation,0.2385701854207109
Medium Risk,Very High Risk,210,BLOG001,BLOG002,validation,0.004685721935872548
Very High Risk,Extreme Risk,1554,BLOG001,BLOG002,validation,0.03467434232545686
Very High Risk,High Risk,3834,BLOG001,BLOG002,validation,0.0855478947720731
Very High Risk,Very High Risk,5931,BLOG001,BLOG002,validation,0.1323381752460004
Extreme Risk,Extreme Risk,444,BLOG001,BLOG003,validation,0.00990695495013053
Extreme Risk,Very High Risk,556,BLOG001,BLOG003,validation,0.012406006649262556
High Risk,Extreme Risk,78,BLOG001,BLOG003,validation,0.0017404110047526608
High Risk,High Risk,9691,BLOG001,BLOG003,validation,0.2162349108597184
High Risk,Very High Risk,525,BLOG001,BLOG003,validation,0.011714304839681371
Low Risk,Extreme Risk,1,BLOG001,BLOG003,validation,2.2312961599393088e-05
Low Risk,High Risk,831,BLOG001,BLOG003,validation,0.018542071089095655
Low Risk,Low Risk,10417,BLOG001,BLOG003,validation,0.2324341209808778
Low Risk,Very High Risk,41,BLOG001,BLOG003,validation,0.0009148314255751166
Medium Risk,Extreme Risk,26,BLOG001,BLOG003,validation,0.0005801370015842203
Medium Risk,High Risk,1013,BLOG001,BLOG003,validation,0.022603030100185197
Medium Risk,Medium Risk,9721,BLOG001,BLOG003,validation,0.2169042997077002
Medium Risk,Very High Risk,154,BLOG001,BLOG003,validation,0.0034361960863065356
Very High Risk,Extreme Risk,1692,BLOG001,BLOG003,validation,0.037753531026173105
Very High Risk,High Risk,2995,BLOG001,BLOG003,validation,0.0668273199901823
Very High Risk,Very High Risk,6632,BLOG001,BLOG003,validation,0.14797956132717496
Extreme Risk,Extreme Risk,524,BLOG001,BLOG004,validation,0.011691991878081977
Extreme Risk,Very High Risk,476,BLOG001,BLOG004,validation,0.010620969721311109
High Risk,Extreme Risk,135,BLOG001,BLOG004,validation,0.003012249815918067
High Risk,High Risk,9516,BLOG001,BLOG004,validation,0.21233014257982463
High Risk,Very High Risk,643,BLOG001,BLOG004,validation,0.014347234308409755
Low Risk,Extreme Risk,8,BLOG001,BLOG004,validation,0.0001785036927951447
Low Risk,High Risk,322,BLOG001,BLOG004,validation,0.007184773635004574
Low Risk,Low Risk,10318,BLOG001,BLOG004,validation,0.23022513778253786
Low Risk,Medium Risk,577,BLOG001,BLOG004,validation,0.012874578842849812
Low Risk,Very High Risk,65,BLOG001,BLOG004,validation,0.0014503425039605507
Medium Risk,Extreme Risk,41,BLOG001,BLOG004,validation,0.0009148314255751166
Medium Risk,High Risk,1108,BLOG001,BLOG004,validation,0.02472276145212754
Medium Risk,Medium Risk,9595,BLOG001,BLOG004,validation,0.21409286654617668
Medium Risk,Very High Risk,170,BLOG001,BLOG004,validation,0.0037932034718968248
Very High Risk,Extreme Risk,1528,BLOG001,BLOG004,validation,0.03409420532387264
Very High Risk,High Risk,2898,BLOG001,BLOG004,validation,0.06466296271504117
Very High Risk,Very High Risk,6893,BLOG001,BLOG004,validation,0.15380324430461656
Extreme Risk,Extreme Risk,499,BLOG001,BLOG005,validation,0.011134167838097151
Extreme Risk,Very High Risk,501,BLOG001,BLOG005,validation,0.011178793761295937
High Risk,Extreme Risk,108,BLOG001,BLOG005,validation,0.0024097998527344536
High Risk,High Risk,6397,BLOG001,BLOG005,validation,0.14273601535131758
High Risk,Medium Risk,2717,BLOG001,BLOG005,validation,0.06062431666555102
High Risk,Very High Risk,1072,BLOG001,BLOG005,validation,0.02391949483454939
Low Risk,Extreme Risk,6,BLOG001,BLOG005,validation,0.00013387776959635853
Low Risk,High Risk,622,BLOG001,BLOG005,validation,0.0138786621148225
Low Risk,Low Risk,5275,BLOG001,BLOG005,validation,0.11770087243679854
Low Risk,Medium Risk,5317,BLOG001,BLOG005,validation,0.11863801682397304
Low Risk,Very High Risk,70,BLOG001,BLOG005,validation,0.0015619073119575162
Medium Risk,Extreme Risk,36,BLOG001,BLOG005,validation,0.0008032666175781511
Medium Risk,High Risk,1604,BLOG001,BLOG005,validation,0.03578999040542651
