split,score_col_1,score_col_2,correlation
train,BLOG001,BLOG001,1.0
train,BLOG001,BLOG002,0.7149252837886211
train,BLOG001,BLOG003,0.6638101339063756
train,BLOG001,BLOG004,0.6434997709597747
train,BLOG001,BLOG005,0.6401816254062167
train,BLOG001,BNB001,0.5463271613441173
train,BLOG001,BNB002,0.6671664091377401
train,BLOG001,BNB003,0.5463209731982167
train,BLOG001,BNB004,0.6671587673228818
train,BLOG001,BNB005,0.5463132384530753
train,BLOG001,BNB006,0.6671492150416228
train,BLOG001,BNB007,0.5462900371324181
train,BLOG001,BNB008,0.6671205581140089
train,BLOG001,BNB009,0.5462513779799049
train,BLOG001,BNB010,0.6670727962934572
train,BLOG001,BNB011,0.5461740961014436
train,BLOG001,BNB012,0.6669772716591029
train,BLOG001,BNB013,0.546019678004625
train,BLOG001,BNB014,0.6667862186970592
train,BLOG001,BNB015,0.5455575879266974
train,BLOG001,BNB016,0.6662130359000485
train,BLOG001,BNB017,0.5447913098921783
train,BLOG001,BNB018,0.6652576876601949
train,BLOG001,CAT001,0.6383632178070687
train,BLOG001,CAT002,0.6338573312763365
train,BLOG001,CAT003,0.6395907214963574
train,BLOG001,CAT004,0.6402894218082159
train,BLOG001,EASTACK001,0.682529702164474
train,BLOG001,ET001,0.8795985146656828
train,BLOG001,ET002,0.8687446964131034
train,BLOG001,ET003,0.8455608938052641
train,BLOG001,ET004,0.9280415101486411
train,BLOG001,ET005,0.8718921588804694
train,BLOG001,GB001,0.6443027204770277
train,BLOG001,GB002,0.6397111561149518
train,BLOG001,GB003,0.6433797991511523
train,BLOG001,GB004,0.6451358019081055
train,BLOG001,GNB001,0.5350884704317826
train,BLOG001,GNB007,0.6230753101555819
train,BLOG001,GNB008,0.7369506464972821
train,BLOG001,GNB009,0.5447309290837469
train,BLOG001,GNB010,0.5025436077197101
train,BLOG001,LASSOSTACK001,0.5725325526325679
train,BLOG001,LGB001,0.6327109773803692
train,BLOG001,LGB002,0.6256239772310974
